"1282.5000","-","MA","Feeding Hills","D-STAR    ","W1KK","A","",,"Hampden","","","","2024/05/06",
"1290.1000","*","NH","Goffstown","","K1GHZ","","","OFF","Hillsborough","","","*Input: 1270.1000 (-20 MHz), +/- 10 kHz","2018/06/20",
"145.130","-","VT","Norwich","P25DMR/FM ","N1CIV","100.0/CC7/NAC 293","",,"Windsor","","","GMARS Analog Net,GMARS Digital Net","2023/11/20",
"145.140","*","MA","Holliston","DMR    ","W1DSR","CC1","",,"Middlesex","","","*Input: 147.975 (+2.835 MHz), DMR-MARC Net","2020/04/19",
"145.150","-","MA","Feeding Hills","D-STAR    ","W1KK","C","",,"Hampden","","","","2024/05/06",
"145.170","-","RI","Cumberland","","NB1RI","67.0","67.0*",,"Providence","","","NB1RI Net","2022/12/04",
"145.190","-","RI","Exeter","","NB1RI","67.0","",,"Washington","","","NB1RI Net","2023/05/07",
"145.200","-","NH","Goffstown","DMR    ","NN1PA","CC2","",,"Hillsborough","","","Brandmeister DMR Net","2020/04/19",
"145.200","-","NH","Goffstown","P25YSFD-STAR    ","NN1PA","","","OFF","Hillsborough","","","","2024/10/05",
"145.250","-","MA","Norwell","P25YSFD-STARNXDNDMR/FM ","AC1M","NAC250/RAN2/CC5/77.0","",,"Plymouth","","","Brandmeister DMR Net","2020/07/16",
"145.260","-","CT","Vernon","D-STAR    ","AA1HD","C","",,"Tolland","","","D-STAR REF069 C","2015/01/26",
"145.330","-","MA","Westford","D-STAR    ","WB1GOF","C","",,"Middlesex","","","","2014/03/11",
"145.360","-","MA","Eastham","DMR    ","W1MLL","CC10","",,"Barnstable","","","DMR-MARC New England Net","2017/12/10",
"145.450","-","CT","Newington","","W1AW","127.3","",,"Hartford","","","224.840 (Newington, CT)","2008/02/02",
"145.480","-","NH","Pembroke","DMR    ","NE1DS","","1",,"Merrimack","","","","2022/08/08",
"145.590","S","MA","Acushnet","","W1AFD","67.0","67.0",,"Bristol","4436","4436","","2013/04/23",
"145.600","S","VT","West Arlington","","W2FCC","123.0","",,"Bennington","4254","","","2012/02/11",
"146.400","*","ME","Sebec","","K1PQ","","","Local","Piscataquis","","896607","*Input: 146.400 (+0 kHz), 444.950 (Brownville,ME)","2024/02/28",
"146.410","*","MA","Freetown","D-STAR    ","K1BEP","C","",,"Bristol","","","D-STAR REF050 C","2020/06/16",
"146.415","*","CT","Killingworth","P25/FM ","KB1MMR","NAC141/141.3","",,"Middlesex","","","*Input: 147.415 (+1 MHz), [KB1MMR Net],RB:2m/440","2024/05/06",
"146.430","*","MA","Hingham","DMR    ","K1GAS","CC1","",,"Plymouth","","","DMR-MARC New England Net","2018/07/15",
"146.440","*","RI","Cumberland","NXDN    ","KB1ISZ","RAN1","",,"Providence","","","","2020/07/17",
"146.445","*","CT","Bridgeport","","WA1RJI","77.0/156.7","77.0*",,"Fairfield","","","*Input: 147.445 (+1 MHz)","2017/02/24",
"146.450","*","MA","Boston","NXDN    ","N1PA","RAN1","",,"Suffolk","","","","2019/05/07",
"146.450","*","MA","Westford","DMR    ","WB1GOF","CC1","",,"Middlesex","","","Brandmeister DMR Net","2023/11/01",
"146.460","*","MA","Haverhill","DMR    ","N1MYY","CC6","",,"Essex","","","DMR-MARC New England Net","2022/09/10",
"146.460","*","NH","Windham","D-STAR    ","KC1EGN","C","","OFF","Rockingham","","","","2020/03/06",
"146.460","*","RI","West Greenwich","","NB1RI","67.0","","Local","Kent","","","","2022/12/04",
"146.460","S","MA","South Hadley","","KX1X","123.0","",,"Hampshire","7270","","","2014/03/03",
"146.470","*","MA","Dennis","DMR    ","W1MLL","CC11","",,"Barnstable","","","DMR-MARC New England Net","2017/12/10",
"146.470","*","MA","Sudbury","DMR    ","K1IR","CC0","","Local","Middlesex","","","DMR-MARC New England Net","2019/06/05",
"146.470","*","MA","Wilmington","DMR    ","K1KZP","CC10","","Local","Middlesex","","","DMR-MARC New England Net","2021/08/20",
"146.475","*","CT","Norwalk","","W1NLK","100.0","100.0",,"Fairfield","","","*Input: 147.475 (+1 MHz)","2012/09/12",
"146.480","*","MA","Worcester","P25/FM ","WE1CT","NAC250/107.2","",,"Worcester","","","","2018/06/20",
"146.490","*","MA","Newton","NXDN    ","KB1KVD","RAN1","","Local","Middlesex","","","","2020/12/29",
"146.500","*","NH","Pelham","DMR    ","W1STT","CC5","",,"Hillsborough","","","Brandmeister DMR Net","2020/04/19",
"146.625","-","RI","Cumberland","DMR/FM ","W1DMR","CC1/146.2","",,"Providence","","","Brandmeister DMR Net","2020/08/30",
"146.835","-","RI","Johnston","YSF    ","KB1TOT","","",,"Providence","","","Closed","2016/02/26",
"146.880","-","RI","Newport","NXDN/FM ","WC1R","100.0","",,"Newport","","","","2016/01/29",
"146.955","-","MA","Westford","","WB1GOF","74.4","",,"Middlesex","","380799","","2011/01/04",
"146.985","-","RI","Exeter","","NB1RI","67.0","67.0*",,"Washington","","","NB1RI Net","2022/12/04",
"147.000","+","MA","Dartmouth","","W1AEC","67.0","",,"Bristol","4210","4210","","2014/07/26",
"147.000","+","MA","Dartmouth","","W1AEC","67.0","",,"Bristol","4210","4210","","2014/07/26",
"147.075","+","RI","Portsmouth","","NB1RI","67.0","67.0*",,"Newport","","","NB1RI Net","2022/12/04",
"147.180","+","ME","York","YSF    ","W1BKW","131.8","",,"York","","","WIRES-X room #62148 (UFB New England)","2023/11/10",
"147.280","*","RI","Cranston","","N1NTP","67.0","",,"Providence","","","*Input: 147.885 (+605 kHz), Closed","2013/06/10",
"147.390","+","RI","Westerly","","NB1RI","67.0","",,"Washington","","","NB1RI Net","2022/12/04",
"147.420","S","ME","Newport","","WA1REQ","100.0","","Local","Penobscot","","402733","","2015/12/16",
"147.425","S","CT","Newington","","W1AW","100.0","",,"Hartford","4292","","","2012/10/27",
"147.430","S","MA","Blackstone","","AB1EX","D023","",,"Worcester","4024","","","2012/10/27",
"147.430","S","ME","Turner","","N1DOT","100.0","",,"Androscoggin","8812","","","2012/10/27",
"147.465","S","MA","Wellesley","","WA3ITR","107.2","",,"Norfolk","4419","","","2010/09/29",
"147.505","*","CT","Woodbridge","","W1SPC","77.0","",,"New Haven","7505","7505","[K1SOX Net],RB:2m/222/440","2021/08/11",
"147.525","S","MA","Longmeadow","","KB1VKY","","",,"Hampden","8426","","","2012/11/06",
"147.555","S","MA","Peabody","","WX1PBD","88.5","",,"Essex","4001","339740","","2020/06/24",
"223.440","S","NH","Claremont","","AA1TT","97.4","",,"Sullivan","","99875","","2022/06/05",
"223.860","-","MA","Belmont","","KB1FX","100.0","","OFF","Middlesex","4314","","","2022/09/01",
"224.160","-","MA","Wilmington","","K1KZP","67.0","",,"Middlesex","","","Phantom Net","2018/09/13",
"224.440","-","NH","Pembroke","","K1KZP","88.5","",,"Merrimack","","","Phantom Net","2024/04/09",
"224.560","-","RI","North Providence","","NB1RI","67.0","",,"Providence","","","NB1RI Net","2023/01/21",
"224.840","-","CT","Newington","","W1AW","127.3","",,"Hartford","","","145.450 (Newington, CT)","2008/02/02",
"224.9875","S","MA","Woburn","","KB1FX","77.0","","Local","Middlesex","4372","","","2014/02/24",
"29.640","-","CT","Bristol","","KB1CDI","","88.5",,"Hartford","","13782","RX in Terryville CT, Donkey Dusters Net","2012/06/09",
"440.8625","+","CT","Vernon","DMR    ","AA1HD","CC1","",,"Tolland","","","Brandmeister DMR Net","2016/07/21",
"441.600","+","MA","Westborough","P25    ","K1WPO","NAC223","NAC556","Local","Worcester","","","","2023/09/08",
"442.150","+","CT","Vernon","D-STAR    ","AA1HD","B","",,"Tolland","","","","2012/09/06",
"442.350","+","MA","Acton","DMR    ","NO1A","CC1","",,"Middlesex","","","DMR-MARC Net","2020/04/19",
"442.450","+","MA","Westford","D-STAR    ","WB1GOF","B","",,"Middlesex","","","D-STAR REF050 C","2020/03/06",
"442.850","+","MA","Sutton","D-STARDMR    ","KC1AZZ","B/CC1","CC1",,"Worcester","","","Brandmeister DMR Net","2024/05/06",
"443.200","+","MA","Stoneham","YSFD-STAR/FM ","WO1VES","146.2","","Local","Middlesex","","","","2020/07/19",
"443.400","+","NH","Goffstown","","NN1PA","186.2","",,"Hillsborough","","","","2019/07/30",
"443.950","+","CT","Vernon","DMR    ","AA1HD","CC1","",,"Tolland","","","CT ARES DMR Net","2015/10/10",
"444.200","+","NH","Goffstown","YSF/FM ","NN1PA","186.2","",,"Hillsborough","","","Wolfpack Net","2021/09/20",
"445.075","+","VT","Bolton","DMR    ","KI1P","CC7","",,"Chittenden","","","DMR-MARC New England Net","2024/04/17",
"446.100","S","VT","Rutland","","WW1VT","173.8","",,"Rutland","","394708","AllStar Node 42353","2020/06/20",
"447.375","-","NH","Derry","D-STAR/FM ","K1QVC","B/85.4","85.4",,"Rockingham","","","","2013/06/10",
"447.925","-","MA","Wilmington","","K1KZP","123.0","","OFF","Middlesex","","","","2022/10/18",
"449.175","-","MA","Feeding Hills","D-STAR    ","W1KK","B","",,"Hampden","","","D-STAR REF069 C","2024/05/06",
"449.700","*","ME","Van Buren","YSF/FM ","NW1P","167.9","",,"Aroostook","","","*Input: 441.700 (-8 MHz)","2016/03/28",
"449.775","-","CT","Torrington","NXDN/NFM","K1KGQ","RAN1/141.3","",,"Litchfield","","","NXDN Net","2016/01/27",
"449.9375","-","NH","Goffstown","NXDN    ","NN1PA","RAN1","",,"Hillsborough","","","NXDN Net","2020/04/19",
"449.9875","-","MA","West Bridgewater","P25YSFD-STARNXDNDMR    ","KA1GG","NAC293/B/RAN1/CC4","NAC293/RAN1/CC4",,"Plymouth","","","Brandmeister DMR Net","2017/12/10",
"51.640","*","NH","Ossipee","","W1BST","131.8","",,"Carroll","","","*Input: 51.140 (-500 kHz)","2024/05/06",
"53.170","-","RI","Portsmouth","","NB1RI","67.0","","OFF","Newport","","","","2022/12/04",
"927.4500","-","MA","Plymouth","P25/NFM","KB1KVD","NAC671/D411","",,"Plymouth","","","HC","2024/09/12",
"927.4750","*","MA","Marshfield","P25/NFM","W1ATD","NAC244/131.8","NAC244/100.0",,"Plymouth","4571","","*Input: 902.0625 (-25.4125 MHz), NEAR-900 Net,AllStar Node 60635","2024/03/21",
"927.6250","*","MA","Abington","P25/NFM","W1EHT","NAC123/123.0","NAC123/100.0",,"Plymouth","4996","","*Input: 902.0625 (-25.5625 MHz), NEAR-900 Net","2024/06/29",
"927.6500","*","RI","East Providence","NFM","N1JBC","91.5","67.0","OFF","Providence","","","*Input: 902.0625 (-25.5875 MHz)","2023/03/05",
"927.6750","*","RI","Cumberland","NFM","W1DMR","D245","",,"Providence","4335","","*Input: 902.0625 (-25.6125 MHz), NEAR-900 Net","2023/03/02",
"927.7375","-","MA","Worcester","P25/NFM","WE1CT","NAC250/D244","",,"Worcester","","","","2014/10/29",
"927.7500","*","RI","Warwick","NFM","WA1ABC","67.0","",,"Kent","4347","","*Input: 902.0625 (-25.6875 MHz), NEAR-900 Net","2017/12/13",
"927.8000","*","MA","Feeding Hills","NFM","W1KK","D271","100.0",,"Hampden","8249","","*Input: 902.0625 (-25.7375 MHz)","2024/03/02",
"927.8250","*","MA","Barnstable","NFM","W1SGL","82.5","67.0",,"Barnstable","4824","","*Input: 902.0625 (-25.7625 MHz), NEAR-900 Net","2024/05/06",
"927.8375","*","MA","Dartmouth","NFM","W1AEC","77.0","67.0",,"Bristol","4617","","*Input: 902.0625 (-25.775 MHz), NEAR-900 Net","2016/10/26",
"927.8500","*","MA","Falmouth","NFM","K1RK","88.5","",,"Barnstable","8496","","*Input: 902.0625 (-25.7875 MHz), NEAR-900 Net","2017/12/13",
"927.8625","-","MA","Woburn","NFM","KB1KVD","D411","",,"Middlesex","","","HC","2023/09/25",
