"CALL","BAND","CHAN","txMHz","rxMHz","CTCSS","LOC","WHERE","ANALOG","DMR","DSTAR","FUSION",
GB3NG,2M,RV50,145.625000,145.025000,67,IO87XO,FRASERBURGH,Y,,,,
GB3NH,70CM,RU76,430.950000,438.550000,77.0,IO92NF,NORTHAMPTON,Y,,,,
GB3NI,2M,RV58,145.725000,145.125000,110.9,IO74CO,BELFAST  N.I.,Y,,,,
GB3NK,70CM,RB04,433.100000,434.700000,103.5,JO01BL,ERITH,Y,,,,
GB3NL,2M,RV62,145.775000,145.175000,,IO91XP,NORTH LONDON,Y,,,,
GB3NM,70CM,RB07,433.175000,434.775000,71.9,IO92KX,NOTTINGHAM,Y,,,,
GB3NN,70CM,RB02,433.050000,434.650000,94.8,JO02JV,WELLS NORFOLK,Y,,,,
GB3NO,23CM,RM0,1297.000000,1291.000000,94.8,JO02PP,NORWICH,Y,,,,
GB3NP,70CM,RU71,430.887500,438.487500,77.0,IO92LD,TOWCESTER,Y,,,Y,
GB3NR,70CM,RB0,433.000000,434.600000,94.8,JO02PP,NORWICH,Y,,,,
GB3NS,70CM,DVU54,439.675000,430.675000,82.5,IO91WG,CATERHAM,Y,,,,
GB3NT,70CM,RB0,433.000000,434.600000,118.8,IO94FW,NEWCASTLE UPON TYNE,Y,,,Y,
GB3NU,70CM,DMU26,439.325000,430.325000,71.9,IO92KX,NOTTINGHAM,Y,Y,Y,Y,
GB3NW,2M,RV50,145.625000,145.025000,67.0,IO82VE,WORCESTER,Y,,,Y,
GB3NX,70CM,RU68,430.850000,438.450000,88.5,IO91WB,CRAWLEY SUSSEX,Y,,,,
GB3NY,70CM,RU67,430.837500,438.437500,88.5,IO93RT,HULL,Y,,,Y,
GB3NZ,2M,RV48,145.600000,145.000000,94.8,JO02NN,WYMONDHAM,Y,,,,
GB3OA,2M,RV49,145.612500,145.012500,82.5,IO83LP,SOUTHPORT,Y,Y,Y,Y,
GB3OC,2M,RV52,145.650000,145.050000,77,IO88LX,KIRKWALL,Y,,,,
GB3OH,70CM,RU76,430.950000,438.550000,94.8,IO85EX,LINLITHGOW,Y,Y,Y,Y,
GB3OM,70CM,RU76,430.950000,438.550000,110.9,IO64JQ,OMAGH,Y,Y,,,
GB3OR,70CM,RU67,430.837500,438.437500,103.5,IO83BH,LLANDUDNO,Y,,,Y,
GB3OV,70CM,RB05,433.125000,434.725000,94.8,IO92VG,ST NEOTS,Y,,,,
GB3OY,70CM,RU76,430.950000,438.550000,82.5,JO01AO,BUCKHURST HILL,Y,,,,
GB3PA,2M,RV50,145.625000,145.025000,103.5,IO75QV,PAISLEY,Y,,,,
GB3PB,2M,RV50,145.625000,145.025000,71.9,IO90AT,WIMBORNE,Y,,,,
GB3PD,70CM,RU68,430.850000,438.450000,,IO80SN,WEYMOUTH,Y,,,Y,
GB3PE,2M,RV54,145.675000,145.075000,94.8,IO92TL,PETERBOROUGH,Y,,,,
GB3PF,70CM,RB12,433.300000,434.900000,82.5,IO83TR,ACCRINGTON,Y,,,,
GB3PH,2M,RV48,145.600000,145.000000,88.5,IO72SX,PWLLHELI,Y,,,,
GB3PI,2M,RV60,145.750000,145.150000,77,IO92XA,ROYSTON,Y,,,,
GB3PK,2M,RV53,145.662500,145.062500,110.9,IO65VE,BALLYCASTLE,Y,,,,
GB3PL,2M,RV61,145.762500,145.162500,77.0,IO80BH,BIGBURY,Y,,,,
GB3PM,70CM,RU72,430.900000,438.500000,71.9,IO93FK,SHEFFIELD,Y,,,,
GB3PN,70CM,RU76,430.950000,438.550000,82.5,IO83PS,PRESTON,Y,,,,
GB3PO,2M,RV52,145.650000,145.050000,110.9,JO02OB,IPSWICH,Y,,,,
GB3PP,70CM,RB15,433.375000,434.975000,82.5,IO83QR,PRESTON,Y,Y,,Y,
GB3PR,2M,RV54,145.675000,145.075000,94.8,IO86GI,PERTH,Y,,,Y,
GB3PS,23CM,RM03,1297.075000,1291.075000,77,IO92XA,ROYSTON,Y,,,,
GB3PT,70CM,RU69,430.862500,438.462500,94.8,IO83NL,PRESCOT,Y,,,,
GB3PU,70CM,RB0,433.000000,434.600000,94.8,IO86GI,PERTH,Y,,,Y,
GB3PW,2M,RV62,145.775000,145.175000,103.5,IO82HL,NEWTOWN POWYS,Y,,,,
GB3PX,6M,R50-07,50.780000,51.280000,77,IO92XA,ROYSTON,Y,,,,
GB3PY,70CM,RU72,430.900000,438.500000,77.0,JO02AF,CAMBRIDGE,Y,,,,
GB3PZ,70CM,RU72,430.900000,438.500000,82.5,IO83XL,DUKINFIELD,Y,,,,
GB3RB,70CM,RB08,433.200000,434.800000,71.9,IO93IF,BOLSOVER,Y,,,,
GB3RC,70CM,RU69,430.862500,438.462500,103.5,IO81XW,CHELTENHAM,Y,,,,
GB3RD,2M,RV54,145.675000,145.075000,118.8,IO91JM,READING,Y,,,,
GB3RE,70CM,RB11,433.275000,434.875000,103.5,JO01HH,MAIDSTONE,Y,,,,
GB3RF,2M,RV62,145.775000,145.175000,82.5,IO83TR,ACCRINGTON,Y,Y,Y,Y,
GB3RH,70CM,RB11,433.275000,434.875000,94.8,IO80MS,AXMINSTER,Y,,,,
GB3RO,70CM,RU66,430.825000,438.425000,82.5,IO83UQ,HASLINGDEN,Y,,,,
GB3RR,70CM,RU68,430.850000,438.450000,67.0,IO82XL,DUDLEY,Y,,,,
GB3RU,70CM,RB11,433.275000,434.875000,118.8,IO91LK,READING,Y,,,,
GB3RW,2M,RV48,145.600000,145.000000,88.5,IO90SU,WORTHING,Y,,,,
GB3SA,70CM,RU77,430.962500,438.562500,82.5,IO92RP,STAMFORD,Y,,,,
GB3SC,70CM,RU69,430.862500,438.462500,67.0,IO92ES,BURTON-UPON-TRENT,Y,,,,
GB3SD,70CM,RB14,433.350000,434.950000,71.9,IO80SQ,WEYMOUTH,Y,,,,
GB3SE,23CM,RM03,1297.075000,1291.075000,103.5,IO83WA,STOKE ON TRENT,Y,,,,
GB3SF,2M,RV50,145.625000,145.025000,,IO86HK,PERTH,,,,Y,
GB3SG,70CM,RU73,430.912500,438.512500,118.8,IO81VR,STROUD,Y,,,,
GB3SH,2M,RV53,145.662500,145.062500,71.9,IO90IV,SOUTHAMPTON,Y,,,,
GB3SI,2M,RV50,145.625000,145.025000,,IO70JB,HELSTON,Y,,,,
GB3SJ,2M,RV55,145.687500,145.087500,103.5,IO83RF,NORTHWICH,Y,,,,
GB3SK,70CM,RB06,433.150000,434.750000,103.5,JO01MH,CANTERBURY,Y,,,,
GB3SL,6M,R50-02,50.730000,51.230000,103.5,IO75XX,KILSYTH,Y,,,,
GB3SM,70CM,RB13,433.325000,434.925000,103.5,IO93BA,STOKE ON TRENT,Y,,,,
GB3SN,2M,RV58,145.725000,145.125000,71.9,IO91LC,ALTON HANTS,Y,,,,
GB3SO,70CM,RB0,433.000000,434.600000,71.9,JO03AR,WITHERNSEA,Y,Y,Y,Y,
GB3SP,70CM,RB04,433.100000,434.700000,94.8,IO71NQ,PEMBROKE,Y,,,Y,
GB3SR,70CM,RU73,430.912500,438.512500,71.9,JO03CB,SKEGNESS,Y,,,,
GB3SS,2M,RV48,145.600000,145.000000,67,IO87MO,ELGIN MORAY,Y,,,Y,
GB3ST,70CM,RB09,433.225000,434.825000,103.5,IO83WA,STOKE ON TRENT,Y,,,,
GB3SU,70CM,RB08,433.200000,434.800000,71.9,IO90IV,SOUTHAMPTON,Y,,,,
GB3SV,2M,RV49,145.612500,145.012500,94.8,IO82WS,STAFFORD,Y,,,,
GB3SW,2M,RV57,145.712500,145.112500,77,IO80JQ,SIDMOUTH,Y,,,,
GB3SX,6M,R50-08,50.790000,51.290000,103.5,IO93BA,STOKE ON TRENT,Y,,,,
GB3SY,70CM,RB06,433.150000,434.750000,71.9,IO93EN,BARNSLEY,Y,,,,
GB3TA,2M,RV59,145.737500,145.137500,67,IO92DP,TAMWORTH,Y,,,,
GB3TD,70CM,UR63,438.387500,430.787500,118.8,IO91DL,SWINDON,Y,,,,
GB3TE,2M,RV49,145.612500,145.012500,67,JO01OU,FRINTON ON SEA,Y,,,,
GB3TF,70CM,RB08,433.200000,434.800000,103.5,IO82RP,TELFORD,Y,,,Y,
GB3TH,70CM,RB15,433.375000,434.975000,67,IO92DP,TAMWORTH,Y,,,Y,
GB3TJ,70CM,RB12,433.300000,434.900000,118.8,IO85XA,CORBRIDGE,Y,,,Y,
GB3TP,2M,RV58,145.725000,145.125000,82.5,IO93CT,SHIPLEY,Y,,,,
GB3TR,2M,RV52,145.650000,145.050000,94.8,IO80FM,TORQUAY,Y,,,,
GB3TS,70CM,RB07,433.175000,434.775000,118.8,IO94GX,SUNDERLAND,Y,,,Y,
GB3TU,70CM,RB09,433.225000,434.825000,77,IO91PS,TRING HERTS,Y,,,,
GB3TW,2M,RV58,145.725000,145.125000,118.8,IO94EW,GATESHEAD,Y,,,Y,
GB3TX,10M,,29.650000,29.550000,94.8,JO02QP,NORWICH,Y,,,,
GB3UB,70CM,RB04,433.100000,434.700000,118.8,IO81UJ,BATH AVON,Y,,,,
GB3UK,2M,RV49,145.612500,145.012500,118.8,IO94FV,WASHINGTON,Y,Y,Y,Y,
GB3UL,70CM,RB02,433.050000,434.650000,110.9,IO74CO,BELFAST  N.I.,Y,,,,
GB3UM,6M,R50-03,50.740000,51.240000,77,IO92IQ,MARKFIELD,Y,,,,
GB3UO,70CM,RU76,430.950000,438.550000,110.9,IO83LA,WREXHAM,Y,,,Y,
GB3UP,70CM,RU73,430.912500,438.512500,94.8,IO71MX,FISHGUARD,Y,,,,
GB3US,70CM,RB0,433.000000,434.600000,103.5,IO93GI,SHEFFIELD,Y,,,,
GB3VA,2M,RV56,145.700000,145.100000,118.8,IO91LT,BRILL,Y,,,,
GB3VE,70CM,RB04,433.100000,434.700000,77.0,IO84SQ,DUFTON,,,Y,,
GB3VH,70CM,RB13,433.325000,434.925000,82.5,IO91VT,WELWYN GARDEN CITY,Y,,,,
GB3VI,6M,R50-15,50.860000,51.360000,67.0,IO82XL,DUDLEY,Y,,,,
GB3VM,2M,RV49,145.612500,145.012500,103.5,IO82QJ,TENBURY WELLS,Y,,,Y,
GB3VN,70CM,RU74,430.925000,438.525000,103.5,IO82QI,LUDLOW,Y,,,Y,
GB3VO,2M,RV51,145.637500,145.037500,110.9,IO83LA,WREXHAM,Y,,,Y,
GB3VS,70CM,RB03,433.075000,434.675000,94.8,IO80LX,TAUNTON,Y,,,,
GB3VT,2M,RV58,145.725000,145.125000,103.5,IO83WA,STOKE ON TRENT,,,Y,,
GB3VW,70CM,RU65,430.812500,438.412500,82.5,JO02NN,WYMONDHAM,Y,,,,
GB3WA,70CM,RU70,430.875000,438.475000,103.5,IO75OR,DALRY,Y,,,,
GB3WB,70CM,RB12,433.300000,434.900000,94.8,IO81MH,WESTON-SUPER-MARE,Y,,,,
GB3WC,23CM,RM15,1297.375000,1291.375000,82.5,IO93EP,WAKEFIELD,Y,,,,
GB3WD,2M,RV56,145.700000,145.100000,77,IO80AK,IVYBRIDGE,Y,,,,
GB3WE,2M,RV55,145.687500,145.087500,94.8,IO81MH,WESTON-SUPER-MARE,Y,,Y,,
GB3WF,70CM,RB14,433.350000,434.950000,82.5,IO93DV,OTLEY,Y,,,Y,
GB3WG,70CM,RU70,430.875000,438.475000,94.8,IO81CP,PORT TALBOT,Y,,,Y,
GB3WH,2M,RV52,145.650000,145.050000,118.8,IO91EM,SWINDON,Y,,,,
GB3WI,70CM,RB15,433.375000,434.975000,94.8,JO02BP,WISBECH,Y,,,Y,
GB3WK,2M,RV62,145.775000,145.175000,67,IO92FH,LEAMINGTON SPA,Y,,,,
GB3WL,70CM,RU76,430.950000,438.550000,67.0,IO92BJ,WYTHALL,Y,,Y,Y,
GB3WM,70CM,RB02,433.050000,434.650000,67,IO92AJ,LONGBRIDGE,Y,,,Y,
GB3WN,70CM,UR63,438.387500,430.787500,67.0,IO82XP,WOLVERHAMPTON,Y,,,,
GB3WO,70CM,RU78,430.975000,438.575000,88.5,IO90TT,WORTHING,Y,,,,
GB3WQ,70CM,RU71,430.887500,438.487500,77.0,IO84FN,WHITEHAVEN,Y,,,,
GB3WR,2M,RV48,145.600000,145.000000,94.8,IO81PH,CHEDDAR,Y,,,,
GB3WS,2M,RV60,145.750000,145.150000,88.5,IO91WB,CRAWLEY SUSSEX,Y,,,,
GB3WT,2M,RV62,145.775000,145.175000,110.9,IO64JQ,OMAGH,Y,,,,
GB3WU,70CM,RU66,430.825000,438.425000,118.8,IO82VE,WORCESTER,Y,,,,
GB3WW,2M,RV62,145.775000,145.175000,94.8,IO81CP,PORT TALBOT,Y,,,Y,
GB3WX,6M,R50-12,50.830000,51.330000,94.8,JO02NN,WYMONDHAM,Y,,,,
GB3WY,6M,R50-09,50.800000,51.300000,82.5,IO93EP,WAKEFIELD,Y,,,,
GB3XD,6M,R50-02,50.730000,51.230000,71.9,IO93WH,LOUTH,Y,,,,
GB3XL,70CM,RU71,430.887500,438.487500,82.5,IO93CT,SHIPLEY,Y,Y,,,
GB3XN,70CM,RU74,430.925000,438.525000,71.9,IO93KJ,WORKSOP,Y,,,,
GB3XP,2M,RV55,145.687500,145.087500,82.5,IO91VJ,MORDEN,Y,,,Y,
GB3XS,6M,R50-14,50.850000,51.350000,77.0,IO92MG,NORTHAMPTON,Y,,,,
GB3XV,70CM,DVU-R20,430.250000,439.250000,,IO92KG,DAVENTRY,,,,Y,
GB3XX,70CM,RU73,430.912500,438.512500,77.0,IO92KG,DAVENTRY,Y,,,Y,
GB3XZ,23CM,RM1,1297.025000,1291.025000,77.0,IO92KG,DAVENTRY,Y,,Y,,
GB3YA,2M,RV57,145.712500,145.112500,94.8,IO81LP,CWMBRAN,Y,,,,
GB3YC,2M,RV60,145.750000,145.150000,88.5,IO94SE,FILEY,Y,,,,
GB3YL,70CM,RB14,433.350000,434.950000,94.8,JO02UL,LOWESTOFT,Y,,,,
GB3YW,2M,RV63,145.787500,145.187500,82.5,IO93EP,WAKEFIELD,Y,,,,
GB3ZA,2M,RV59,145.737500,145.137500,118.8,IO82PB,HEREFORD,Y,,,Y,
GB3ZB,70CM,RU66,430.825000,438.425000,77,IO81QJ,BRISTOL,Y,,,,
GB3ZI,70CM,RU78,430.975000,438.575000,103.5,IO82WT,STAFFORD,Y,,,Y,
GB3ZN,2M,RV51,145.637500,145.037500,118.8,IO94GX,SOUTH SHIELDS ,Y,,,,
GB3ZW,6M,R50-10,50.810000,51.310000,103.5,IO82HL,NEWTOWN POWYS,Y,,,,
GB3ZX,70CM,RU66,430.825000,438.425000,88.5,JO00CT,EASTBOURNE,Y,,,,
GB3ZY,6M,R50-09,50.800000,51.300000,77,IO81QJ,BRISTOL,Y,,,,
GB7AA,70CM,DVU54,439.675000,430.675000,,IO81RO,BRISTOL,,Y,,,
GB7AB,70CM,DVU53,439.662500,430.662500,,IO87VD,ABERDEEN,,,,Y,
GB7AC,70CM,RU76,430.950000,438.550000,103.5,IO87NU,LARGS,Y,Y,,,
GB7AD,70CM,DVU61,439.762500,430.762500,,IO81RO,BRISTOL,,,Y,,
GB7AE,70CM,DVU34,439.425000,430.425000,,IO91CJ,MARLBOROUGH,,,Y,,
GB7AG,70CM,RU72,430.900000,438.500000,94.8,IO86NR,FORFAR,Y,Y,Y,Y,
GB7AL,70CM,DVU32,439.400000,430.400000,,JO02RD,IPSWICH,,Y,,,
GB7AM,2M,RV53,145.662500,145.062500,,IO83WI,HIGHER POYNTON,,,Y,Y,
GB7AN,70CM,DVU37,439.462500,430.462500,,IO83TS,ACCRINGTON ,,,,Y,
GB7AR,70CM,DVU42,439.525000,430.525000,,JO01DI,NEW ASH GREEN,,Y,Y,Y,
GB7AS,70CM,DVU34,439.425000,430.425000,,JO01KD,ASHFORD,,Y,,,
GB7AU,70CM,DVU56,439.700000,430.700000,,IO91GP,AMERSHAM,,,Y,Y,
GB7AV,70CM,DVU35,439.437500,430.437500,,IO91OT,AYLESBURY,,Y,,,
GB7AY,70CM,DVU36,439.450000,430.450000,,IO75TQ,KILMARNOCK,,Y,Y,Y,
GB7BA,70CM,DVU61,439.762500,430.762500,,IO93CS,BRADFORD,,Y,,,
GB7BB,70CM,DVU57,439.712500,430.712500,,IO87QP,BANFF,,Y,Y,Y,
GB7BC,70CM,DVU52,439.650000,430.650000,,IO90WT,BRIGHTON,,Y,Y,Y,
GB7BD,70CM,RU76,430.950000,438.550000,,IO81QJ,BRISTOL,,Y,,,
GB7BE,70CM,DVU53,439.662500,430.662500,,JO02TK,BECCLES,,,Y,,
GB7BF,70CM,DVU-R24,430.300000,439.300000,,IO83LU,BLACKPOOL,,Y,Y,Y,
GB7BH,70CM,DVU46,439.575000,430.575000,,IO90WU,BRIGHTON,,Y,Y,Y,
GB7BI,70CM,DVU53,439.662500,430.662500,,IO77RM,MUIR OF ORD,,Y,,,
GB7BJ,70CM,DVU59,439.737500,430.737500,,IO82TC,MALVERN,,Y,,,
GB7BK,70CM,DVU59,439.737500,430.737500,,IO91JM,READING,,Y,,,
GB7BL,70CM,DVU54,439.675000,430.675000,,IO84VV,ALLENDALE,,Y,,Y,
GB7BM,70CM,DVU32,439.400000,430.400000,,IO92BL,BIRMINGHAM,,Y,Y,,
GB7BN,70CM,DVU47,439.587500,430.587500,,IO90PT,BOGNOR REGIS,,Y,Y,,
GB7BP,70CM,DVU36,439.450000,430.450000,,IO91PX,MILTON KEYNES,,,Y,,
GB7BR,70CM,RU74,430.925000,438.525000,,IO74TI,RAMSEY IOM,,Y,,,
GB7BS,70CM,DVU13,439.162500,430.162500,,IO81TK,BRISTOL,,Y,,,
GB7BX,70CM,DVU35,439.437500,430.437500,,IO82QL,CLEOBURY NORTH,,Y,,,
GB7BZ,70CM,DVU33,439.412500,430.412500,,IO92QF,BOZEAT,,,Y,,
GB7CA,70CM,RU74,430.925000,438.525000,,IO74SD,DOUGLAS,,Y,,,
GB7CB,70CM,DVU57,439.712500,430.712500,,IO85DU,BATHGATE,,Y,,,
GB7CC,70CM,DVU-R22,430.275000,439.275000,,IO81XW,CHELTENHAM,,Y,,,
GB7CD,70CM,DVU56,439.700000,430.700000,,IO81JL,CARDIFF,,,Y,,
GB7CE,70CM,DVU49,439.612500,430.612500,,JO01NT,GREAT CLACTON,,,,Y,
GB7CF,70CM,DVU50,439.625000,430.625000,,IO90LW,CLANFIELD,,Y,,,
GB7CG,2M,RV57,145.712500,145.112500,77.0,IO92QA,WOBURN SANDS,Y,,,Y,
GB7CK,70CM,DVU59,439.737500,430.737500,,JO01OC,FOLKESTONE,,Y,,,
GB7CL,70CM,DVU51,439.637500,430.637500,,JO01OU,FRINTON ON SEA,,Y,,,
GB7CM,2M,RV56,145.700000,145.100000,71.9,IO80WU,BLANDFORD,Y,,,Y,
GB7CO,70CM,DVU39,439.487500,430.487500,,IO90JU,FAREHAM,,Y,Y,Y,
GB7CP,70CM,RU66,430.825000,438.425000,77.0,IO91RO,SLOUGH,,,,Y,
GB7CQ,70CM,DVU49,439.612500,430.612500,,IO90SU,WORTHING,,Y,Y,Y,
GB7CS,70CM,DVU62,439.775000,430.775000,,IO75VU,GLASGOW,,,,Y,
GB7CT,2M,RV51,145.637500,145.037500,,IO91PS,TRING,,Y,,,
GB7CV,70CM,DVU-R23,430.287500,439.287500,,IO92GK,COVENTRY,,Y,,,
GB7CX,70CM,RU69,430.862500,438.462500,,IO65OD,COLERAINE,,Y,Y,Y,
GB7CY,70CM,DVU50,439.625000,430.625000,,IO94DR,CROOK,,,,Y,
GB7CZ,70CM,DVU40,439.500000,430.500000,,IO94DR,CROOK,,Y,,,
GB7DA,2M,RV62,145.775000,145.175000,,IO85AV,AIRDRIE,,Y,Y,Y,
GB7DB,70CM,DVU53,439.662500,430.662500,,IO92QA,WOBURN SANDS,,Y,,,
GB7DC,70CM,RU70,430.875000,438.475000,71.9,IO92GW,DERBY,Y,Y,Y,Y,
GB7DD,70CM,DVU53,439.662500,430.662500,,IO86NL,DUNDEE,,Y,,,
GB7DE,2M,RV51,145.637500,145.037500,,IO85JW,EDINBURGH,,Y,,,
GB7DH,70CM,DVU47,439.587500,430.587500,,IO83RF,NORTHWICH,,,Y,Y,
GB7DJ,70CM,DVU53,439.662500,430.662500,,IO83RF,NORTHWICH,,Y,,,
GB7DK,2M,RV55,145.687500,145.087500,103.5,IO74LV,STRANRAER,Y,,,Y,
GB7DK-B,70CM,DVU52,439.650000,430.650000,,IO74LV,STRANRAER,,,Y,,
GB7DL,70CM,DVU54,439.675000,430.675000,,JO03DD,SKEGNESS,,,Y,,
GB7DM,70CM,DVU60,439.750000,430.750000,103.5,IO86NL,MONIFIETH,Y,Y,Y,Y,
GB7DN,70CM,DVU33,439.412500,430.412500,,IO64MW,DUNGIVEN,,,Y,,
GB7DO,70CM,DVU56,439.700000,430.700000,,IO93LO,DONCASTER,,Y,,,
GB7DP,70CM,DVU47,439.587500,430.587500,,IO71MV,TREFFGARNE,,Y,,,
GB7DR,70CM,DVU34,439.425000,430.425000,,IO90AR,POOLE,,Y,,,
GB7DS,70CM,DVU34,439.425000,430.425000,,JO02PP,NORWICH,,Y,Y,Y,
GB7DV,70CM,DVU49,439.612500,430.612500,,IO83QJ,ST. HELENS,,,Y,,
GB7DX,70CM,DVU56,439.700000,430.700000,,JO00LW,NEW ROMNEY,,Y,,,
