"callsign","band","channel","TX","RX","mode","QTHR","where","postcode","region","code","keeper","lat","lon",
GB3AA,2M,RV53,145.662500,145.062500,AV,IO81RO,BRISTOL,BS35,SW,94.8,G4CJZ,51.59,-2.54,
GB3AB,70CM,RB15,433.375000,434.975000,AV,IO93FK,SHEFFIELD,S35,NOR,82.5,M0GAV,53.42,-1.54,
GB3AC,70CM,RU78,430.975000,438.575000,AV,IO81TS,BRISTOL,BS7,SW,94.8,G4CJZ,51.50,-2.58,
GB3AG,2M,RV58,145.725000,145.125000,MULTI,IO86ON,FORFAR,DD5,SCOT,94.8,MM0XET,56.56,-2.83,
GB3AH,70CM,RB11,433.275000,434.875000,AV,JO02KP,EAST DEREHAM,IP25,SE,94.8,G0LGJ,52.66,0.84,
GB3AI,2M,RV59,145.737500,145.137500,MULTI,IO85PK,HAWICK,TD9,SCOT,3,GM8SJP,55.40,-2.70,
GB3AK,23CM,RM14X,1297.350000,1277.350000,AV,IO81RO,BRISTOL,BS35,SW,94.8,G4CJZ,51.59,-2.54,
GB3AL,2M,RV59,145.737500,145.137500,MULTI,IO91QP,AMERSHAM,HP7,SW,77.0,M0ZPU,51.65,-0.62,
GB3AM,6M,R50-13,50.840000,51.340000,AV,IO91QP,AMERSHAM,HP7,SW,77,M0ZPU,51.65,-0.62,
GB3AN,70CM,RB08,433.200000,434.800000,MULTI,IO73UJ,AMLWCH,LL68,WM,110.9,MW0GCT,53.39,-4.30,
GB3AR,2M,RV56,145.700000,145.100000,MULTI,IO73VC,CAERNARFON,LL55,WM,110.9,GW4KAZ,53.12,-4.20,
GB3AS,2M,RV48,145.600000,145.000000,AV,IO85MC,LANGHOLM,DG14,SCOT,77,GM6LJE,55.11,-2.93,
GB3AU,70CM,RB07,433.175000,434.775000,AV,IO91QP,AMERSHAM,HP7,SW,82.5,M0ZPU,51.65,-0.62,
GB3AV,70CM,RB02,433.050000,434.650000,AV,IO91OT,AYLESBURY,HP20,SW,118.8,G8GQJ,51.81,-0.81,
GB3AW,70CM,RB10,433.250000,434.850000,AV,IO91GH,NEWBURY,SP11,SW,71.9,G8DOR,51.32,-1.44,
GB3AY,2M,RV52,145.650000,145.050000,AV,IO75OR,DALRY,KA24,SCOT,103.5,MM0YET,55.73,-4.76,
GB3BA,70CM,RB13,433.325000,434.925000,AV,IO91KF,BASINGSTOKE,RG22,SW,71.9,G8GTZ,51.20,-1.10,
GB3BB,2M,RV56,145.700000,145.100000,AV,IO81GX,BRECON,LD3,WM,94.8,MW0XDD,52.00,-3.50,
GB3BC,2M,RV60,145.750000,145.150000,AV,IO81IO,PONTYPRIDD,CF83,WM,94.8,GW0UXJ,51.61,-3.30,
GB3BE,70CM,RU69,430.862500,438.462500,MULTI,IO85SS,DUNS,TD11,SCOT,118.8,GM7LUN,55.80,-2.40,
GB3BF,2M,RV63,145.787500,145.187500,AV,IO92SC,BEDFORD,MK42,MIDL,77.0,G8MGP,52.10,-0.50,
GB3BI,2M,RV58,145.725000,145.125000,AV,IO77RM,MUIR OF ORD,IV6,SCOT,67,MM0GKB,57.51,-4.54,
GB3BK,70CM,RU72,430.900000,438.500000,AV,JO01AK,BROMLEY,BR1,SE,103.5,G0WYG,51.43,0.01,
GB3BL,70CM,RU70,430.875000,438.475000,AV,IO92SD,BEDFORD,MK41,MIDL,77.0,G8MGP,52.15,-0.48,
GB3BM,2M,RV57,145.712500,145.112500,AV,IO82XL,DUDLEY,B65,MIDL,67.0,G8PYT,52.50,-2.00,
GB3BN,70CM,RB0,433.000000,434.600000,AV,IO91OJ,BRACKNELL,RG14,SW,118.8,G8DOR,51.41,-0.80,
GB3BR,70CM,RU65,430.812500,438.412500,AV,IO90VU,HOVE,BN41,SE,88.5,G4WTV,50.80,-0.20,
GB3BS,70CM,RU68,430.850000,438.450000,AV,IO81TK,BRISTOL,BA1,SW,118.8,G4SDR,51.43,-2.41,
GB3BT,2M,RV56,145.700000,145.100000,AV,IO85WT,BERWICK ON TWEED,TD15,SCOT,118.8,GM1JFF,55.82,-2.08,
GB3BV,70CM,RB01,433.025000,434.625000,MULTI,IO91SR,HEMEL HEMPSTEAD,HP3,SE,82.5,G7HMV,51.73,-0.43,
GB3BW,70CM,RU65,430.812500,438.412500,AV,IO93HO,WAKEFIELD,WF4,NOR,82.5,M0YDG,53.62,-1.41,
GB3BX,2M,RV54,145.675000,145.075000,DMR,IO82QL,CLEOBURY NORTH,SY7,WM,13,G4VZO,52.50,-2.60,
GB3BY,70CM,RU78,430.975000,438.575000,AV,IO83LT,BLACKPOOL,FY1,NOR,82.5,M0DKR,53.81,-3.03,
GB3BZ,70CM,RU68,430.850000,438.450000,MULTI,JO01GW,BRAINTREE,CM7,SE,3,G0DEC,51.93,0.53,
GB3CA,70CM,RB13,433.325000,434.925000,AV,IO84OT,CARLISLE,CA4,NOR,77,G1XSZ,54.82,-2.83,
GB3CB,70CM,RB14,433.350000,434.950000,AV,IO92BL,BIRMINGHAM,B12,MIDL,67,G8NDT,52.46,-1.89,
GB3CC,70CM,RU77,430.962500,438.562500,AV,IO90PT,CHICHESTER,PO22,SE,88.5,G4WTV,50.80,-0.70,
GB3CD,2M,RV55,145.687500,145.087500,MULTI,IO94DR,CROOK,DL15,NOR,118.8,G0OCB,54.74,-1.75,
GB3CE,70CM,RB14,433.350000,434.950000,AV,JO01KV,COLCHESTER,CO4,SE,67,G0MBA,51.91,0.90,
GB3CF,2M,RV48,145.600000,145.000000,MULTI,IO92IQ,MARKFIELD,LE67,MIDL,77.0,M0VSE,52.69,-1.28,
GB3CG,2M,RV58,145.725000,145.125000,AV,IO81VU,GLOUCESTER,GL3 ,SW,118.8,G3LVP,51.87,-2.18,
GB3CH,70CM,RU70,430.875000,438.475000,AV,IO70SM,LISKEARD,PL14,SW,77,G4RKY,50.51,-4.44,
GB3CI,70CM,RU66,430.825000,438.425000,AV,IO92PM,CORBY,NN17,MIDL,77.0,G7HPE,52.51,-0.68,
GB3CJ,10M,10M,29.640000,29.540000,AV,IO92NF,NORTHAMPTON,NN1,MIDL,77.0,G1IRG,52.24,-0.89,
GB3CK,70CM,RB0,433.000000,434.600000,AV,JO01JF,CHARING KENT,TN27,SE,103.5,G6RVS,51.23,0.79,
GB3CL,70CM,RB09,433.225000,434.825000,AV,JO01OT,CLACTON,CO15,SE,67,G0MBA,51.81,1.21,
GB3CM,70CM,RU69,430.862500,438.462500,MULTI,IO71VW,CARMARTHEN,SA32,WM,94.8,GW8KCY,51.92,-4.22,
GB3CN,2M,RV55,145.687500,145.087500,AV,IO71TX,NEWCASTLE EMLYN,SA44,WM,94.8,GW6JSO,51.99,-4.40,
GB3CO,2M,RV53,145.662500,145.062500,AV,IO92PM,CORBY,NN17,MIDL,77.0,G1DIW,52.51,-0.68,
GB3CP,2M,RV59,145.737500,145.137500,AV,IO64IG,FERMANAGH,BT92,NI,110.9,GI6JPO,54.27,-7.27,
GB3CQ,10M,10M,29.620000,29.520000,AV,IO90SU,WORTHING,BN13,SE,88.5,G4WTV,50.80,-0.40,
GB3CR,70CM,RB06,433.150000,434.750000,AV,IO83LC,CAERGWRLE,LL12,WM,110.9,M0OBW,53.10,-3.10,
GB3CS,2M,RV60,145.750000,145.150000,AV,IO85AU,MOTHERWELL,ML6,SCOT,103.5,GM8HBY,55.80,-4.00,
GB3CV,70CM,RU65,430.812500,438.412500,AV,IO92GK,COVENTRY,CV2,MIDL,67,G4USP,52.42,-1.48,
GB3CW,70CM,RB04,433.100000,434.700000,AV,IO82HL,NEWTOWN POWYS,SY16,WM,103.5,GW4IQP,52.48,-3.40,
GB3CY,70CM,RU69,430.862500,438.462500,AV,IO93KW,YORK,YO23,NOR,88.5,G4FUO,53.92,-1.15,
GB3DA,2M,RV58,145.725000,145.125000,MULTI,JO01GR,DANBURY,CM3,SE,110.9,G6JYB,51.72,0.57,
GB3DB,6M,R50-06,50.770000,51.270000,MULTI,JO01HR,DANBURY,CM3,SE,110.9,G6JYB,51.72,0.60,
GB3DC,2M,RV55,145.687500,145.087500,AV,IO92GW,DERBY,DE21,MIDL,71.9,G7NPW,52.94,-1.44,
GB3DD,70CM,RB10,433.250000,434.850000,MULTI,IO86MM,DUNDEE,DD3,SCOT,94.8,GM4UGF,56.50,-2.97,
GB3DE,70CM,RB07,433.175000,434.775000,AV,JO02NF,IPSWICH,IP14,SE,110.9,G1NRL,52.24,1.10,
GB3DG,2M,RV62,145.775000,145.175000,MULTI,IO74UV,NEWTON STEWART,DG8,SCOT,103.5,GM8CJG,54.89,-4.30,
GB3DI,70CM,RB06,433.150000,434.750000,AV,IO91IN,DIDCOT,OX11,SW,118.8,G8CUL,51.57,-1.31,
GB3DM,70CM,RU74,430.925000,438.525000,MULTI,IO75QX,DUMBARTON,G82,SCOT,103.5,GM7GDE,55.97,-4.58,
GB3DN,2M,RV51,145.637500,145.037500,AV,IO70UW,STIBB CROSS,EX39,SW,77,G1BHM,50.92,-4.26,
GB3DP,70CM,RU69,430.862500,438.462500,AV,IO92TR,BASTON,PE6,MIDL,88.5,G6YCA,52.72,-0.35,
GB3DQ,70CM,RU78,430.975000,438.575000,AV,IO70RI,POLPERRO,PL13,SW,77,G1YDQ,50.34,-4.51,
GB3DR,2M,RV59,145.737500,145.137500,MULTI,IO80SN,WEYMOUTH,DT5,SW,,G3VPF,50.55,-2.44,
GB3DS,70CM,RB13,433.325000,434.925000,AV,IO93KH,WORKSOP,S80,MIDL,71.9,G3XXN,53.30,-1.13,
GB3DT,70CM,RB0,433.000000,434.600000,MULTI,IO80WU,BLANDFORD,DT11,SW,71.9,G0ZEP,50.87,-2.12,
GB3DU,2M,RV61,145.762500,145.162500,MULTI,IO85SS,DUNS,TD11,SCOT,1,GM7LUN,55.80,-2.40,
GB3DV,70CM,RB01,433.025000,434.625000,AV,IO93JK,MALTBY,S66,NOR,71.9,G0EPX,53.42,-1.19,
GB3DW,2M,RV53,145.662500,145.062500,MULTI,IO72WT,HARLECH,LL45,WM,110.9,MW0VTK,52.81,-4.10,
GB3DX,70CM,RB12,433.300000,434.900000,AV,IO65HA,DERRY/LONDONDERRY,BT48,NI,110.9,GI4YWT,55.01,-7.36,
GB3DY,70CM,RB10,433.250000,434.850000,MULTI,IO93FB,WIRKSWORTH,DE56,MIDL,71.9,G3ZYC,53.06,-1.55,
GB3DZ,70CM,RU79,430.987500,438.587500,AV,IO92HW,DERBY,DE21,MIDL,71.9,G7NPW,52.90,-1.40,
GB3EA,2M,RV55,145.687500,145.087500,AV,JO02GE,WICKHAMBROOK,CB8,SE,110.9,G1YFF,52.19,0.55,
GB3EB,2M,RV63,145.787500,145.187500,MULTI,JO00AT,NEWHAVEN,BN9,SE,88.5,G0TJH,50.79,0.44,
GB3ED,70CM,RB14,433.350000,434.950000,MULTI,IO85JW,EDINBURGH,EH10,SCOT,94.8,GM4GZW,55.94,-3.21,
GB3EE,70CM,RB12,433.300000,434.900000,AV,IO93JD,MANSFIELD,NG19,MIDL,71.9,G0RRZ,53.20,-1.20,
GB3EF,6M,R50-01,50.720000,51.220000,AV,JO02NF,STOWMARKET,IP14,SE,110.9,G0OZS,52.24,1.10,
GB3EG,70CM,RU73,430.912500,438.512500,AV,IO83QN,WIGAN,WN6,NOR,82.5,M1EGH,53.56,-2.65,
GB3EH,70CM,RU77,430.962500,438.562500,AV,IO92GC,BANBURY,OX15,MIDL,67,G4OHB,52.11,-1.48,
GB3EI,2M,RV49,145.612500,145.012500,MULTI,IO67IN,LOCHMADDY,HS6,SCOT,88.5,GM8SAU,57.55,-7.33,
GB3EJ,23CM,RM04,1297.100000,1291.100000,AV,JO02CD,CAMBRIDGE,CB22,SE,77,G8MLA,52.20,0.20,
GB3EK,70CM,RU71,430.887500,438.487500,AV,JO01QJ,MARGATE,CT9,SE,103.5,M0LMK,51.38,1.40,
GB3EL,2M,RV48,145.600000,145.000000,AV,JO01AM,LONDON,E6,SE,82.5,G4RZZ,51.53,0.04,
GB3EM,2M,RV61,145.762500,145.162500,AV,IO92LJ,COLD ASHBY,NN6,MIDL,77.0,M1FJB,52.38,-1.05,
GB3ER,70CM,RB03,433.075000,434.675000,MULTI,JO01GR,DANBURY,CM3,SE,110.9,G6JYB,51.72,0.57,
GB3ES,2M,RV54,145.675000,145.075000,AV,JO00HV,HASTINGS,TN25,SE,103.5,G6ZZX,50.90,0.60,
GB3EU,70CM,UR67,438.437500,430.837500,AV,IO92LJ,COLD ASHBY,NN6,MIDL,77.0,M1FJB,52.38,-1.05,
GB3EV,2M,RV56,145.700000,145.100000,AV,IO84SQ,DUFTON,CA16,NOR,77,G0TNF,54.68,-2.46,
GB3EW,2M,RV49,145.612500,145.012500,AV,IO80FR,EXETER,EX4,SW,77,G6ATJ,50.70,-3.50,
GB3EX,70CM,RU76,430.950000,438.550000,AV,IO80GT,SILVERTON,EX5,SW,77,G7NBU,50.84,-3.47,
GB3EZ,70CM,RU78,430.975000,438.575000,AV,JO02GE,WICKHAMBROOK,CB8,SE,110.9,G1YFF,52.19,0.55,
GB3FC,70CM,RU68,430.850000,438.450000,AV,IO83LU,BLACKPOOL,FY2,NOR,82.5,M0DKR,53.86,-3.05,
GB3FE,2M,RV53,145.662500,145.062500,AV,IO86BC,STIRLING,FK7,SCOT,103.5,GM0MZB,56.11,-3.85,
GB3FF ,2M,RV48,145.600000,145.000000,AV,IO86MU,UPPER LARGO,KY8,SCOT,103.5,GM7LUN,56.20,-2.90,
GB3FG,2M,RV57,145.712500,145.112500,MULTI,IO71UX,CARMARTHEN,SA44,WM,94.8,GW8KCY,52.00,-4.30,
GB3FH,6M,R50-06,50.770000,51.270000,AV,IO81OH,SOMERSET,BS26,SW,77,G4RKY,51.30,-2.81,
GB3FI,70CM,RU74,430.925000,438.525000,AV,IO81OH,CHEDDAR,BS26,SW,77,G4RKY,51.30,-2.81,
GB3FJ,70CM,RU76,430.950000,438.550000,AV,IO93XE,ASGARBY,PE23,MIDL,71.9,G3ZPU,53.18,-0.01,
GB3FK,2M,RV60,145.750000,145.150000,MULTI,JO01OC,FOLKESTONE,CT18,SE,103.5,M1CMN,51.10,1.20,
GB3FM,23CM,RM2,1297.050000,1291.050000,AV,IO91OF,FARNHAM,GU52,SW,100,G4EPX,51.24,-0.83,
GB3FN,70CM,RB15,433.375000,434.975000,AV,IO91OF,FARNHAM,GU52,SW,82.5,G4EPX,51.24,-0.83,
GB3FR,2M,RV62,145.775000,145.175000,AV,JO03AE,SPILSBY LINCS.,PE23,MIDL,71.9,M1FJB,53.17,0.03,
GB3FU,2M,RV60,145.750000,145.150000,AV,IO92JX,NOTTINGHAM,NG6,MIDL,71.9,M5ADU,53.00,-1.20,
GB3FV,70CM,RU65,430.812500,438.412500,AV,IO86AC,STIRLING,FK7,SCOT,88.5,GM0WUR,56.10,-3.90,
GB3FX,6M,R50-10,50.810000,51.310000,AV,IO91OF,FARNHAM,GU52,SW,82.5,G4EPX,51.24,-0.83,
GB3GB,70CM,DMU27,439.337500,430.337500,AV,IO92BM,SUTTON COLDFIELD,B24,MIDL,67,G8NDT,52.53,-1.84,
GB3GC,6M,R50-02,50.730000,51.230000,AV,IO70TL,LISKEARD,PL14,SW,77.0,M0WMB,50.48,-4.38,
GB3GD,2M,RV50,145.625000,145.025000,AV,IO74SG,SNAEFELL IOM,IM4,NOR,110.9,GD4HOZ,54.26,-4.46,
GB3GF,70CM,RB12,433.300000,434.900000,AV,IO91RF,GUILDFORD,GU2,SE,88.5,G4EML,51.23,-0.58,
GB3GH,70CM,RB05,433.125000,434.725000,AV,IO81VU,GLOUCESTER,GL3,SW,118.8,G3LVP,51.87,-2.18,
GB3GJ,2M,RV51,145.637500,145.037500,MULTI,IN89WE,ST HELIER,JE4,SW,71.9,GJ8PVL,49.20,-2.11,
GB3GL,70CM,RU72,430.900000,438.500000,MULTI,IO75WU,GLASGOW,G69,SCOT,103.5,GM3SAN,55.85,-4.10,
GB3GN,2M,RV62,145.775000,145.175000,AV,IO87TA,BANCHORY,AB31,SCOT,67,GM4ZUK,57.02,-2.36,
GB3GO,2M,RV63,145.787500,145.187500,MULTI,IO83BH,LLANDUDNO,LL30,WM,110.9,M0BUQ,53.33,-3.85,
GB3GR,70CM,RU68,430.850000,438.450000,AV,IO92QV,GRANTHAM,NG31,MIDL,71.9,G0OJF,52.91,-0.58,
GB3GU,70CM,RB13,433.325000,434.925000,AV,IN89RK,GUERNSEY,GY1,SW,71.9,GU6EFB,49.46,-2.54,
GB3GY,70CM,RB11,433.275000,434.875000,AV,IO93XN,CLEETHORPES,DN35,MIDL,88.5,M0KWK,53.56,-0.03,
GB3HA,2M,RV60,145.750000,145.150000,MULTI,IO85XA,CORBRIDGE,NE19,NOR,118.8,M0TKF,55.03,-2.03,
GB3HB,70CM,RB15,433.375000,434.975000,MULTI,IO70OJ,ROCHE,PL26,SW,77,G4WVD,50.38,-4.83,
GB3HC,70CM,RB06,433.150000,434.750000,MULTI,IO82PB,HEREFORD,HR1,WM,118.8,G0JWJ,52.07,-2.70,
GB3HD,70CM,RB09,433.225000,434.825000,MULTI,IO93BP,HUDDERSFIELD,HD7,NOR,82.5,G0ISX,53.65,-1.87,
GB3HE,70CM,RU74,430.925000,438.525000,MULTI,JO00HV,HASTINGS,TN35,SE,103.5,G3TCG,50.88,0.59,
GB3HF,10M,10M,29.690000,29.590000,AV,IO82KW,LLANGOLLEN,LL20,WM,103.5,GW0NIS,53.00,-3.10,
GB3HG,2M,RV50,145.625000,145.025000,MULTI,IO94JF,THIRSK,YO7,NOR,88.5,G8IMZ,54.23,-1.21,
GB3HH,2M,RV56,145.700000,145.100000,AV,IO93BF,BUXTON,SK17,MIDL,71.9,G7EKY,53.23,-1.91,
GB3HI,2M,RV56,145.700000,145.100000,AV,IO76DK,ISLE OF MULL,PA65,SCOT,103.5,MM0JRM,56.46,-5.73,
GB3HJ,70CM,RB01,433.025000,434.625000,AV,IO94EB,HARROGATE,HG3,NOR,118.8,G4MEM,54.06,-1.65,
GB3HM,6M,R50-11,50.820000,51.320000,AV,IO93GA,BELPER,DE56,MIDL,71.9,G8IQP,53.00,-1.56,
GB3HN,70CM,RB01,433.025000,434.625000,AV,IO82QJ,LUDLOW,DY14,WM,103.5,M0HOY,52.40,-2.60,
GB3HO,70CM,RU71,430.887500,438.487500,AV,IO91TB,HORSHAM,RH13,SE,88.5,G4EFO,51.05,-0.39,
GB3HR,70CM,RB14,433.350000,434.950000,AV,IO91TO,HARROW,HA3,SE,82.5,G3YXZ,51.62,-0.36,
GB3HS,2M,RV52,145.650000,145.050000,MULTI,IO93RS,HULL,HU15,NOR,88.5,G3GJA,53.78,-0.55,
GB3HT,70CM,RB11,433.275000,434.875000,AV,IO92HN,HINCKLEY,LE10,MIDL,77.0,M0RVD,52.55,-1.37,
GB3HW,70CM,RB13,433.325000,434.925000,AV,JO01CN,GIDEA PARK,RM2,SE,110.9,G4GBW,51.58,0.21,
GB3HX,6M,R50-05,50.760000,51.260000,AV,JO00HV,HASTINGS,TN34,SE,103.5,M0HOW,50.88,0.59,
GB3HY,70CM,RU72,430.900000,438.500000,AV,IO90WX,HAYWARDS HEATH,RH16,SE,88.5,G6DGK,50.99,-0.09,
GB3IC,70CM,RB05,433.125000,434.725000,AV,IO82WO,WOLVERHAMPTON,WV11,MIDL,67,G7CFC,52.60,-2.10,
GB3IE,70CM,RU68,430.850000,438.450000,DSTAR,IO70XJ,PLYMOUTH,PL3,SW,77,G7DQC,50.39,-4.12,
GB3IG,2M,RV62,145.775000,145.175000,AV,IO68QE,STORNOWAY,HS2,SCOT,88.5,GM0LZE,58.18,-6.58,
GB3IH,70CM,RB04,433.100000,434.700000,AV,JO02OB,IPSWICH,IP4,SE,110.9,G7CIY,52.06,1.20,
GB3IK,2M,RV61,145.762500,145.162500,AV,JO01FJ,ROCHESTER,ME2,SE,103.5,G6CKK,51.40,0.49,
GB3IM-C,70CM,RU66,430.825000,438.425000,AV,IO74SD,DOUGLAS  IOM,IM4,NOR,110.9,GD4HOZ,54.14,-4.49,
GB3IM-P,70CM,RU70,430.875000,438.475000,AV,IO74PF,PEEL,IM5,NOR,110.9,GD4HOZ,54.22,-4.70,
GB3IM-R,70CM,RU66,430.825000,438.425000,AV,IO74TI,RAMSEY  IOM,IM7,NOR,71.9,GD4HOZ,54.36,-4.39,
GB3IM-S,70CM,RB05,433.125000,434.725000,AV,IO74SG,DOUGLAS  IOM,IM4,NOR,110.9,GD4HOZ,54.26,-4.46,
GB3IN,2M,RV51,145.637500,145.037500,MULTI,IO93GD,ALFRETON,S45,MIDL,71.9,G4TSN,53.13,-1.47,
GB3IP,70CM,RU78,430.975000,438.575000,AV,IO91WF,SOUTH NUTFIELD,RH1,SE,82.5,M0ZAH,51.22,-0.15,
GB3IR,2M,RV61,145.762500,145.162500,AV,IO94DJ,RICHMOND YORKS,DL10,NOR,88.5,G4FZN,54.41,-1.75,
GB3IS,70CM,RU71,430.887500,438.487500,MULTI,IO67HC,ISLE OF SOUTH UIST,HS8,SCOT,94.8,GM8SAU,57.10,-7.35,
GB3IW,70CM,RB09,433.225000,434.825000,AV,IO90JO,VENTNOR,PO38,SW,71.9,G4IKI,50.60,-1.20,
GB3JB,2M,RV63,145.787500,145.187500,MULTI,IO81VC,MERE WILTSHIRE,BA12,SW,5,G3ZXX,51.10,-2.19,
GB3JL,2M,RV63,145.787500,145.187500,AV,IO70SM,LISKEARD,PL14,SW,77,G4RKY,50.51,-4.44,
GB3JM,70CM,RU70,430.875000,438.475000,AV,IO82PG,LEOMINISTER,HR6,WM,118.8,M0WYP,52.30,-2.70,
GB3JR,70CM,RU78,430.975000,438.575000,AV,IO93HB,MANSFIELD,DE55,MIDL,71.9,M5ADU,53.08,-1.36,
GB3JS,70CM,RB01,433.025000,434.625000,AV,JO02UO,GREAT YARMOUTH,NR30,SE,94.8,M0JGX,52.59,1.73,
GB3KA,70CM,RU71,430.887500,438.487500,AV,IO82UJ,KIDDERMINSTER,DY11,WM,118.8,G7SAI,52.40,-2.30,
GB3KC,70CM,RU72,430.900000,438.500000,AV,IO82WK,STOURBRIDGE,DY9,MIDL,67,G0EWH,52.44,-2.12,
GB3KE,2M,RV55,145.687500,145.087500,MULTI,IO75UV,GLASGOW,G61,SCOT,103.5,GM7SVK,55.92,-4.31,
GB3KI,2M,RV53,145.662500,145.062500,MULTI,JO01NI,HERNE BAY,CT6,SE,103.5,G4TKR,51.36,1.15,
GB3KK,70CM,RU78,430.975000,438.575000,AV,IO65VE,BALLYCASTLE,BT54,NI,110.9,MI0CRQ,55.19,-6.24,
GB3KL,70CM,RB04,433.100000,434.700000,MULTI,JO02FR,KINGS LYNN,PE33,SE,94.8,G0IJU,52.71,0.42,
GB3KN,2M,RV56,145.700000,145.100000,AV,JO01HH,MAIDSTONE,ME14,SE,103.5,G3VFC,51.30,0.59,
GB3KR,70CM,RU65,430.812500,438.412500,AV,IO82UI,STOURPORT ON SEVERN,DY13,WM,118.8,G7SAI,52.34,-2.26,
GB3KS,2M,RV50,145.625000,145.025000,MULTI,JO01PA,DOVER,CT15,SE,103.5,M1CMN,51.14,1.32,
GB3KU,70CM,RB03,433.075000,434.675000,MULTI,IO83XM,ASHTON-UNDER-LYNE,OL,NOR,82.5,M0NCZ,53.51,-2.08,
GB3KV,70CM,RU78,430.975000,438.575000,AV,IO75XX,KILSYTH,G65,SCOT,103.5,GM3SAN,56.00,-4.04,
GB3KW,70CM,RU66,430.825000,438.425000,MULTI,IO75UV,GLASGOW,G61,SCOT,103.5,GM7SVK,55.92,-4.31,
GB3KY,2M,RV57,145.712500,145.112500,AV,JO02FS,KINGS LYNN,PE31,SE,94.8,G1SCQ,52.78,0.48,
GB3LA,2M,RV57,145.712500,145.112500,AV,IO85CJ,SANQUHAR,ML12,SCOT,103.5,GM3SAN,55.38,-3.75,
GB3LB,2M,RV63,145.787500,145.187500,AV,IO85NS,LAUDER,EH38,SCOT,118.8,GM7LUN,55.80,-2.90,
GB3LC,70CM,RU75,430.937500,438.537500,AV,IO93WH,LOUTH,LN11,MIDL,71.9,G7AJP,53.32,-0.12,
GB3LD,2M,RV54,145.675000,145.075000,AV,IO84OA,LANCASTER,LA2,NOR,110.9,G3VVT,54.03,-2.76,
GB3LE,70CM,RB04,433.100000,434.700000,MULTI,IO92IQ,MARKFIELD,LE67,MIDL,77,M1NAS,52.69,-1.28,
GB3LF,70CM,RB14,433.350000,434.950000,AV,IO84PH,KENDAL,LA9,NOR,110.9,G3VVT,54.32,-2.70,
GB3LG,6M,R50-12,50.830000,51.330000,AV,IO82KW,LLANGOLLEN,LL20,WM,,GW0NIS,53.00,-3.10,
