"CALL","BAND","CHAN","txMHz","rxMHz","CTCSS","LOC","WHERE","DMR","DSTAR","FUSION","NXDN",
GB3AG,2M,RV58,145.725000,145.125000,94.8,IO86ON,FORFAR,,,Y,,
GB3AI,2M,RV59,145.737500,145.137500,103.5,IO85PK,HAWICK,Y,Y,Y,,
GB3AL,2M,RV59,145.737500,145.137500,77.0,IO91QP,AMERSHAM,,,Y,,
GB3AN,70CM,RB08,433.200000,434.800000,110.9,IO73UJ,AMLWCH,,,Y,,
GB3BV,70CM,RB01,433.025000,434.625000,82.5,IO91SR,HEMEL HEMPSTEAD,,,Y,,
GB3BX,2M,RV54,145.675000,145.075000,,IO82QL,CLEOBURY NORTH,Y,,,,
GB3BZ,70CM,RU68,430.850000,438.450000,110.9,JO01GW,BRAINTREE,Y,,,,
GB3CD,2M,RV55,145.687500,145.087500,118.8,IO94DR,CROOK,,,Y,,
GB3CF,2M,RV48,145.600000,145.000000,77.0,IO92IQ,MARKFIELD,,Y,Y,Y,
GB3CM,70CM,RU69,430.862500,438.462500,94.8,IO71VW,CARMARTHEN,,,Y,,
GB3DA,2M,RV58,145.725000,145.125000,110.9,JO01GR,DANBURY,,,Y,,
GB3DB,6M,R50-06,50.770000,51.270000,110.9,JO01HR,DANBURY,,,Y,,
GB3DD,70CM,RB10,433.250000,434.850000,94.8,IO86MM,DUNDEE,,,Y,,
GB3DG,2M,RV62,145.775000,145.175000,103.5,IO74UV,NEWTON STEWART,,,Y,,
GB3DM,70CM,RU74,430.925000,438.525000,103.5,IO75QX,DUMBARTON,,,Y,,
GB3DT,70CM,RB0,433.000000,434.600000,71.9,IO80WU,BLANDFORD,,,Y,,
GB3DU,2M,RV61,145.762500,145.162500,118.8,IO85SS,DUNS,Y,Y,Y,,
GB3DW,2M,RV53,145.662500,145.062500,110.9,IO72WT,HARLECH,,,Y,,
GB3ED,70CM,RB14,433.350000,434.950000,94.8,IO85JW,EDINBURGH,,Y,,,
GB3EI,2M,RV49,145.612500,145.012500,88.5,IO67IN,LOCHMADDY,Y,Y,Y,,
GB3ER,70CM,RB03,433.075000,434.675000,110.9,JO01GR,DANBURY,,,Y,,
GB3FG,2M,RV57,145.712500,145.112500,94.8,IO71UX,CARMARTHEN,,,Y,,
GB3FK,2M,RV60,145.750000,145.150000,103.5,JO01OC,FOLKESTONE,,,Y,,
GB3GJ,2M,RV51,145.637500,145.037500,71.9,IN89WE,ST HELIER,Y,,,,
GB3GL,70CM,RU72,430.900000,438.500000,103.5,IO75WU,GLASGOW,,,Y,,
GB3GO,2M,RV63,145.787500,145.187500,110.9,IO83BH,LLANDUDNO,,,Y,,
GB3HA,2M,RV60,145.750000,145.150000,118.8,IO85XA,CORBRIDGE,,,Y,,
GB3HB,70CM,RB15,433.375000,434.975000,77,IO70OJ,ROCHE,,,Y,,
GB3HC,70CM,RB06,433.150000,434.750000,118.8,IO82PB,HEREFORD,,,Y,,
GB3HD,70CM,RB09,433.225000,434.825000,82.5,IO93BP,HUDDERSFIELD,,,Y,,
GB3HE,70CM,RU74,430.925000,438.525000,103.5,JO00HV,HASTINGS,,,Y,,
GB3HG,2M,RV50,145.625000,145.025000,88.5,IO94JF,THIRSK,,,Y,,
GB3HS,2M,RV52,145.650000,145.050000,88.5,IO93RS,HULL,,Y,Y,,
GB3IE,70CM,RU68,430.850000,438.450000,77,IO70XJ,PLYMOUTH,,Y,,,
GB3IN,2M,RV51,145.637500,145.037500,71.9,IO93GD,ALFRETON,Y,Y,Y,Y,
GB3IS,70CM,RU71,430.887500,438.487500,94.8,IO67HC,ISLE OF SOUTH UIST,Y,Y,Y,,
GB3JB,2M,RV63,145.787500,145.187500,103.5,IO81VC,MERE WILTSHIRE,Y,,,,
GB3KE,2M,RV55,145.687500,145.087500,103.5,IO75UV,GLASGOW,,,Y,,
GB3KI,2M,RV53,145.662500,145.062500,103.5,JO01NI,HERNE BAY,,Y,,,
GB3KL,70CM,RB04,433.100000,434.700000,94.8,JO02FR,KINGS LYNN,,,Y,,
GB3KS,2M,RV50,145.625000,145.025000,103.5,JO01PA,DOVER,,,Y,,
GB3KU,70CM,RB03,433.075000,434.675000,82.5,IO83XM,ASHTON-UNDER-LYNE,Y,Y,Y,Y,
GB3KW,70CM,RU66,430.825000,438.425000,103.5,IO75UV,GLASGOW,,,Y,,
GB3LE,70CM,RB04,433.100000,434.700000,77,IO92IQ,MARKFIELD,,,Y,,
GB3LH,70CM,RB15,433.375000,434.975000,103.5,IO82OP,SHREWSBURY,,,Y,,
GB3LM,2M,RV58,145.725000,145.125000,71.9,IO93RF,LINCOLN,,,Y,,
GB3LT,70CM,RB10,433.250000,434.850000,77.0,IO91SV,LUTON,,,Y,,
GB3MB,70CM,RB15,433.375000,434.975000,94.8,IO81HR,MERTHYR,,,Y,,
GB3MC,70CM,DMU27,439.337500,430.337500,110.9,IO83KJ,LEASOWE,,,Y,,
GB3MD,70CM,RU77,430.962500,438.562500,103.5,IO82GN,LLANFAIR CAEREINION,,,Y,,
GB3MG,70CM,RU72,430.900000,438.500000,,IO81KP,PONTYPRIDD,,,Y,,
GB3MI,2M,RV57,145.712500,145.112500,82.5,IO83VM,MANCHESTER,,Y,,,
GB3MK,70CM,RB0,433.000000,434.600000,77,IO92OB,MILTON KEYNES,,,Y,,
GB3ML,70CM,RU73,430.912500,438.512500,103.5,IO91RK,STAINES UPON THAMES,Y,Y,Y,,
GB3MN,2M,RV52,145.650000,145.050000,82.5,IO83XH,DISLEY,,,Y,,
GB3MY,70CM,RB11,433.275000,434.875000,82.5,IO83SM,ATHERTON,,,Y,,
GB3NA,2M,RV49,145.612500,145.012500,71.9,IO93HN,BARNSLEY,,Y,,,
GB3NC,2M,RV58,145.725000,145.125000,77.0,IO70OJ,ROCHE,,,Y,,
GB3NP,70CM,RU71,430.887500,438.487500,77.0,IO92LD,TOWCESTER,,,Y,,
GB3NT,70CM,RB0,433.000000,434.600000,118.8,IO94FW,NEWCASTLE UPON TYNE,,,Y,,
GB3NU,70CM,DMU26,439.325000,430.325000,71.9,IO92KX,NOTTINGHAM,Y,Y,Y,Y,
GB3NW,2M,RV50,145.625000,145.025000,67.0,IO82VE,WORCESTER,,,Y,,
GB3NY,70CM,RU67,430.837500,438.437500,88.5,IO93RT,HULL,,,Y,,
GB3OH,70CM,RU76,430.950000,438.550000,94.8,IO85EX,LINLITHGOW,Y,Y,Y,,
GB3OM,70CM,RU76,430.950000,438.550000,110.9,IO64JQ,OMAGH,Y,,,,
GB3OR,70CM,RU67,430.837500,438.437500,103.5,IO83BH,LLANDUDNO,,,Y,,
GB3PP,70CM,RB15,433.375000,434.975000,82.5,IO83QR,PRESTON,Y,,Y,,
GB3PR,2M,RV54,145.675000,145.075000,94.8,IO86GI,PERTH,,,Y,,
GB3PU,70CM,RB0,433.000000,434.600000,94.8,IO86GI,PERTH,,,Y,,
GB3RF,2M,RV62,145.775000,145.175000,82.5,IO83TR,ACCRINGTON,Y,Y,Y,,
GB3SF,2M,RV50,145.625000,145.025000,,IO86HK,PERTH,,,Y,,
GB3SO,70CM,RB0,433.000000,434.600000,71.9,JO03AR,WITHERNSEA,Y,Y,Y,,
GB3SP,70CM,RB04,433.100000,434.700000,94.8,IO71NQ,PEMBROKE,,,Y,,
GB3SS,2M,RV48,145.600000,145.000000,67,IO87MO,ELGIN MORAY,,,Y,,
GB3TF,70CM,RB08,433.200000,434.800000,103.5,IO82RP,TELFORD,,,Y,,
GB3TH,70CM,RB15,433.375000,434.975000,67,IO92DP,TAMWORTH,,,Y,,
GB3TJ,70CM,RB12,433.300000,434.900000,118.8,IO85XA,CORBRIDGE,,,Y,,
GB3TS,70CM,RB07,433.175000,434.775000,118.8,IO94GX,SUNDERLAND,,,Y,,
GB3TW,2M,RV58,145.725000,145.125000,118.8,IO94EW,GATESHEAD,,,Y,,
GB3UK,2M,RV49,145.612500,145.012500,118.8,IO94FV,WASHINGTON,Y,Y,Y,,
GB3UO,70CM,RU76,430.950000,438.550000,110.9,IO83LA,WREXHAM,,,Y,,
GB3VE,70CM,RB04,433.100000,434.700000,77.0,IO84SQ,DUFTON,,Y,,,
GB3VM,2M,RV49,145.612500,145.012500,103.5,IO82QJ,TENBURY WELLS,,,Y,,
GB3VN,70CM,RU74,430.925000,438.525000,103.5,IO82QI,LUDLOW,,,Y,,
GB3VO,2M,RV51,145.637500,145.037500,110.9,IO83LA,WREXHAM,,,Y,,
GB3VT,2M,RV58,145.725000,145.125000,103.5,IO83WA,STOKE ON TRENT,,Y,,,
GB3WE,2M,RV55,145.687500,145.087500,94.8,IO81MH,WESTON-SUPER-MARE,,Y,,,
GB3WF,70CM,RB14,433.350000,434.950000,82.5,IO93DV,OTLEY,,,Y,,
GB3WG,70CM,RU70,430.875000,438.475000,94.8,IO81CP,PORT TALBOT,,,Y,,
GB3WI,70CM,RB15,433.375000,434.975000,94.8,JO02BP,WISBECH,,,Y,,
GB3WL,70CM,RU76,430.950000,438.550000,67.0,IO92BJ,WYTHALL,,Y,Y,,
GB3WM,70CM,RB02,433.050000,434.650000,67,IO92AJ,LONGBRIDGE,,,Y,,
GB3WW,2M,RV62,145.775000,145.175000,94.8,IO81CP,PORT TALBOT,,,Y,,
GB3XL,70CM,RU71,430.887500,438.487500,82.5,IO93CT,SHIPLEY,Y,,,,
GB3XP,2M,RV55,145.687500,145.087500,82.5,IO91VJ,MORDEN,,,Y,,
GB3XV,70CM,DVU-R20,430.250000,439.250000,,IO92KG,DAVENTRY,,,Y,,
GB3XX,70CM,RU73,430.912500,438.512500,77.0,IO92KG,DAVENTRY,,,Y,,
GB3XZ,23CM,RM1,1297.025000,1291.025000,77.0,IO92KG,DAVENTRY,,Y,,,
GB3ZA,2M,RV59,145.737500,145.137500,118.8,IO82PB,HEREFORD,,,Y,,
GB3ZI,70CM,RU78,430.975000,438.575000,103.5,IO82WT,STAFFORD,,,Y,,
GB7AA,70CM,DVU54,439.675000,430.675000,,IO81RO,BRISTOL,Y,,,,
GB7AB,70CM,DVU53,439.662500,430.662500,,IO87VD,ABERDEEN,,,Y,,
GB7AC,70CM,RU76,430.950000,438.550000,103.5,IO87NU,LARGS,Y,,,,
GB7AD,70CM,DVU61,439.762500,430.762500,,IO81RO,BRISTOL,,Y,,,
GB7AE,70CM,DVU34,439.425000,430.425000,,IO91CJ,MARLBOROUGH,,Y,,,
GB7AG,70CM,RU72,430.900000,438.500000,94.8,IO86NR,FORFAR,Y,Y,Y,,
GB7AL,70CM,DVU32,439.400000,430.400000,,JO02RD,IPSWICH,Y,,,,
GB7AM,2M,RV53,145.662500,145.062500,,IO83WI,HIGHER POYNTON,,Y,Y,,
GB7AN,70CM,DVU37,439.462500,430.462500,,IO83TS,ACCRINGTON ,,,Y,,
GB7AR,70CM,DVU42,439.525000,430.525000,,JO01DI,NEW ASH GREEN,Y,Y,Y,Y,
GB7AS,70CM,DVU34,439.425000,430.425000,,JO01KD,ASHFORD,Y,,,,
GB7AU,70CM,DVU56,439.700000,430.700000,,IO91GP,AMERSHAM,,Y,Y,,
GB7AV,70CM,DVU35,439.437500,430.437500,,IO91OT,AYLESBURY,Y,,,,
GB7AY,70CM,DVU36,439.450000,430.450000,,IO75TQ,KILMARNOCK,Y,Y,Y,,
GB7BA,70CM,DVU61,439.762500,430.762500,,IO93CS,BRADFORD,Y,,,,
GB7BB,70CM,DVU57,439.712500,430.712500,,IO87QP,BANFF,Y,Y,Y,,
GB7BC,70CM,DVU52,439.650000,430.650000,,IO90WT,BRIGHTON,Y,Y,Y,Y,
GB7BD,70CM,RU76,430.950000,438.550000,,IO81QJ,BRISTOL,Y,,,,
GB7BE,70CM,DVU53,439.662500,430.662500,,JO02TK,BECCLES,,Y,,,
GB7BF,70CM,DVU-R24,430.300000,439.300000,,IO83LU,BLACKPOOL,Y,Y,Y,,
GB7BH,70CM,DVU46,439.575000,430.575000,,IO90WU,BRIGHTON,Y,Y,Y,,
GB7BI,70CM,DVU53,439.662500,430.662500,,IO77RM,MUIR OF ORD,Y,,,,
GB7BJ,70CM,DVU59,439.737500,430.737500,,IO82TC,MALVERN,Y,,,,
GB7BK,70CM,DVU59,439.737500,430.737500,,IO91JM,READING,Y,,,,
GB7BL,70CM,DVU54,439.675000,430.675000,,IO84VV,ALLENDALE,Y,,Y,Y,
GB7BM,70CM,DVU32,439.400000,430.400000,,IO92BL,BIRMINGHAM,Y,Y,,,
GB7BN,70CM,DVU47,439.587500,430.587500,,IO90PT,BOGNOR REGIS,Y,Y,,,
GB7BP,70CM,DVU36,439.450000,430.450000,,IO91PX,MILTON KEYNES,,Y,,,
GB7BR,70CM,RU74,430.925000,438.525000,,IO74TI,RAMSEY IOM,Y,,,,
GB7BS,70CM,DVU13,439.162500,430.162500,,IO81TK,BRISTOL,Y,,,,
GB7BX,70CM,DVU35,439.437500,430.437500,,IO82QL,CLEOBURY NORTH,Y,,,,
GB7BZ,70CM,DVU33,439.412500,430.412500,,IO92QF,BOZEAT,,Y,,,
GB7CA,70CM,RU74,430.925000,438.525000,,IO74SD,DOUGLAS,Y,,,,
GB7CB,70CM,DVU57,439.712500,430.712500,,IO85DU,BATHGATE,Y,,,,
GB7CC,70CM,DVU-R22,430.275000,439.275000,,IO81XW,CHELTENHAM,Y,,,,
GB7CD,70CM,DVU56,439.700000,430.700000,,IO81JL,CARDIFF,,Y,,,
GB7CE,70CM,DVU49,439.612500,430.612500,,JO01NT,GREAT CLACTON,,,Y,,
GB7CF,70CM,DVU50,439.625000,430.625000,,IO90LW,CLANFIELD,Y,,,,
GB7CG,2M,RV57,145.712500,145.112500,77.0,IO92QA,WOBURN SANDS,,,Y,,
GB7CK,70CM,DVU59,439.737500,430.737500,,JO01OC,FOLKESTONE,Y,,,,
GB7CL,70CM,DVU51,439.637500,430.637500,,JO01OU,FRINTON ON SEA,Y,,,,
GB7CM,2M,RV56,145.700000,145.100000,71.9,IO80WU,BLANDFORD,,,Y,,
GB7CO,70CM,DVU39,439.487500,430.487500,,IO90JU,FAREHAM,Y,Y,Y,Y,
GB7CP,70CM,RU66,430.825000,438.425000,77.0,IO91RO,SLOUGH,,,Y,,
GB7CQ,70CM,DVU49,439.612500,430.612500,,IO90SU,WORTHING,Y,Y,Y,,
GB7CS,70CM,DVU62,439.775000,430.775000,,IO75VU,GLASGOW,,,Y,,
GB7CT,2M,RV51,145.637500,145.037500,,IO91PS,TRING,Y,,,,
GB7CV,70CM,DVU-R23,430.287500,439.287500,,IO92GK,COVENTRY,Y,,,,
GB7CX,70CM,RU69,430.862500,438.462500,,IO65OD,COLERAINE,Y,Y,Y,,
GB7CY,70CM,DVU50,439.625000,430.625000,,IO94DR,CROOK,,,Y,,
GB7CZ,70CM,DVU40,439.500000,430.500000,,IO94DR,CROOK,Y,,,,
GB7DA,2M,RV62,145.775000,145.175000,,IO85AV,AIRDRIE,Y,Y,Y,,
GB7DB,70CM,DVU53,439.662500,430.662500,,IO92QA,WOBURN SANDS,Y,,,,
GB7DC,70CM,RU70,430.875000,438.475000,71.9,IO92GW,DERBY,Y,Y,Y,Y,
GB7DD,70CM,DVU53,439.662500,430.662500,,IO86NL,DUNDEE,Y,,,Y,
GB7DE,2M,RV51,145.637500,145.037500,,IO85JW,EDINBURGH,Y,,,,
GB7DH,70CM,DVU47,439.587500,430.587500,,IO83RF,NORTHWICH,,Y,Y,,
GB7DJ,70CM,DVU53,439.662500,430.662500,,IO83RF,NORTHWICH,Y,,,,
GB7DK,2M,RV55,145.687500,145.087500,103.5,IO74LV,STRANRAER,,,Y,,
GB7DK-B,70CM,DVU52,439.650000,430.650000,,IO74LV,STRANRAER,,Y,,,
GB7DL,70CM,DVU54,439.675000,430.675000,,JO03DD,SKEGNESS,,Y,,,
GB7DM,70CM,DVU60,439.750000,430.750000,103.5,IO86NL,MONIFIETH,Y,Y,Y,,
GB7DN,70CM,DVU33,439.412500,430.412500,,IO64MW,DUNGIVEN,,Y,,,
GB7DO,70CM,DVU56,439.700000,430.700000,,IO93LO,DONCASTER,Y,,,,
GB7DP,70CM,DVU47,439.587500,430.587500,,IO71MV,TREFFGARNE,Y,,,,
GB7DR,70CM,DVU34,439.425000,430.425000,,IO90AR,POOLE,Y,,,,
GB7DS,70CM,DVU34,439.425000,430.425000,,JO02PP,NORWICH,Y,Y,Y,Y,
GB7DV,70CM,DVU49,439.612500,430.612500,,IO83QJ,ST. HELENS,,Y,,,
GB7DX,70CM,DVU56,439.700000,430.700000,,JO00LW,NEW ROMNEY,Y,,,,
GB7DY,70CM,DVU46,439.575000,430.575000,,IO82WL,DUDLEY,Y,,,,
GB7DZ,70CM,RB02,433.050000,434.650000,103.5,IO83VC,CONGLETON,,,Y,,
GB7EA,70CM,DMU30,439.375000,430.375000,,IO75SV,ERSKINE,,,Y,,
GB7EB,70CM,DVU46,439.575000,430.575000,,JO02TK,BECCLES,Y,,,,
GB7EC,70CM,RU74,430.925000,438.525000,,IO87WD,ABERDEEN ,Y,,,,
GB7ED,70CM,DVU54,439.675000,430.675000,,IO80GR,EXETER,Y,,,,
GB7EE,70CM,RU74,430.925000,438.525000,,IO85JW,EDINBURGH,Y,,,,
GB7EG,70CM,DVU61,439.762500,430.762500,,IO91XC,EAST GRINSTEAD,Y,,,,
GB7EH,70CM,RU75,430.937500,438.537500,,IO92GC,BANBURY,Y,,,,
GB7EI,70CM,RU68,430.850000,438.450000,88.5,IO67IN,LOCHMADDY,Y,Y,Y,,
GB7EL,70CM,DVU57,439.712500,430.712500,,IO83VT,NELSON,Y,,,,
GB7EP,70CM,DVU32,439.400000,430.400000,,IO91UI,EPSOM,Y,,,,
GB7ER,2M,RV62,145.775000,145.175000,77,IO80GR,EXETER,,,Y,,
GB7ES,70CM,DVU35,439.437500,430.437500,,JO00DT,EASTBOURNE,,Y,,,
GB7ET,70CM,U321A,434.018750,434.018750,,IO91VF,REIGATE,,,,,
GB7EU,70CM,RU67,430.837500,438.437500,94.8,IO85JW,EDINBURGH,,,,Y,
GB7EW,70CM,DVU42,439.525000,430.525000,,IO80FR,EXETER,Y,,,,
GB7EX,70CM,DVU57,439.712500,430.712500,,JO01GN,SOUTHEND ON SEA,Y,,,,
GB7EY,70CM,DVU41,439.512500,430.512500,,IO85NM,SELKIRK,Y,Y,Y,Y,
GB7EZ,70CM,DVU62,439.775000,430.775000,,IO92CM,ERDINGTON,Y,,,,
GB7FD,70CM,DVU58,439.725000,430.725000,,IO83LV,FLEETWOOD,,,Y,,
GB7FE,70CM,DVU38,439.475000,430.475000,,IO86BC,STIRLING,Y,Y,Y,,
GB7FG,70CM,RU76,430.950000,438.550000,94.8,IO71WW,CARMARTHEN,,,Y,,
GB7FI,70CM,RU71,430.887500,438.487500,,IO81OH,AXBRIDGE,Y,,,,
